time,event
0,Yizhen started a game with 1200 timeLimit
0,"Entered home screen, displayed jobs: [""i:(0,2214) UberEats - SF: 24 waitTime, 51 timeLimit"",""i:(1,3039) Uber - SF: 3 waitTime, 19 timeLimit"",""i:(2,506) UberEats - Berkeley: 39 waitTime, 39 timeLimit"",""i:(3,2711) Uber - Berkeley: 5 waitTime, 14 timeLimit""]"
3.011,"i:(1,1608) Job Uber - SF now available"
5.003,"i:(3,1467) Job Uber - Berkeley now available"
9.072,"Task Uber - SF was started with: 9 steps, 19 timeLimit, 30 hardLimit"
12.143,(9) Correct Guess: green
13.973,(8) Correct Guess: green
15.403,(7) Correct Guess: red
16.293,(6) Correct Guess: red
18.013,(5) Correct Guess: green
19.943,(4) Correct Guess: yellow
21.193,(3) Correct Guess: red
22.333,(2) Correct Guess: red
23.923,(1) Correct Guess: green
23.923,"Ended with: 0 mistakes, 19 earned, 14 in game time passed"
28.993,Rated themselves: 3
28.993,"i:(1,1276) Job Uber - SF now available"
28.993,"Entered home screen, displayed jobs: [""i:(0,565) UberEats - SF: 38 waitTime, 41 timeLimit"",""i:(1,1276) Uber - SF: 0 waitTime, 31 timeLimit"",""i:(2,3083) UberEats - Berkeley: 5 waitTime, 26 timeLimit"",""i:(3,2154) Uber - Berkeley: 2 waitTime, 29 timeLimit""]"
28.993,"i:(1,3462) Job Uber - SF now available"
31.003,"i:(3,1958) Job Uber - Berkeley now available"
32.043,"Task Uber - SF was started with: 15 steps, 31 timeLimit, 46 hardLimit"
36.163,(15) Correct Guess: green
37.683,(14) Correct Guess: red
39.033,(13) Correct Guess: green
40.153,(12) Correct Guess: green
41.184,(11) Correct Guess: green
42.233,(10) Correct Guess: green
43.203,(9) Correct Guess: red
44.683,(8) Correct Guess: green
45.713,(7) Correct Guess: red
47.184,(6) Correct Guess: yellow
48.393,(5) Correct Guess: green
50.373,(4) Correct Guess: yellow
51.534,(3) Correct Guess: green
53.542,(2) Correct Guess: yellow
55.813,(1) Correct Guess: yellow
55.813,"Ended with: 0 mistakes, 31 earned, 23 in game time passed"
58.693,Rated themselves: 3
58.693,"Entered home screen, displayed jobs: [""i:(0,236) UberEats - SF: 7 waitTime, 30 timeLimit"",""i:(1,4560) Uber - SF: 1 waitTime, 25 timeLimit"",""i:(2,898) UberEats - Berkeley: 10 waitTime, 37 timeLimit"",""i:(3,3544) Uber - Berkeley: 5 waitTime, 20 timeLimit""]"
59.702,"i:(1,437) Job Uber - SF now available"
63.703,"i:(3,4512) Job Uber - Berkeley now available"
65.702,"i:(0,2874) Job UberEats - SF now available"
67.273,"Task UberEats - SF was started with: 10 steps, 30 timeLimit, 58 hardLimit"
72.783,"(10) Incorrect Guess: coconut, mistyped pear"
76.593,(10) Correct Guess: coconut
78.403,(9) Correct Guess: banana
79.853,(8) Correct Guess: apple
83.213,(7) Correct Guess: pineapple
86.133,(6) Correct Guess: coconut
88.273,(5) Correct Guess: pineapple
89.903,(4) Correct Guess: banana
92.083,(3) Correct Guess: coconut
94.473,(2) Correct Guess: pineapple
95.873,(1) Correct Guess: apple
95.873,"Ended with: 1 mistakes, 30 earned, 28 in game time passed"
98.973,Rated themselves: 1
98.973,"Entered home screen, displayed jobs: [""i:(0,533) UberEats - SF: 4 waitTime, 16 timeLimit"",""i:(1,3627) Uber - SF: 6 waitTime, 13 timeLimit"",""i:(2,3949) UberEats - Berkeley: 19 waitTime, 32 timeLimit"",""i:(3,3640) Uber - Berkeley: 23 waitTime, 28 timeLimit""]"
102.983,"i:(0,1475) Job UberEats - SF now available"
104.122,"Task UberEats - SF was started with: 5 steps, 16 timeLimit, 84 hardLimit"
107.343,(5) Correct Guess: pineapple
109.163,(4) Correct Guess: coconut
110.433,(3) Correct Guess: banana
112.143,(2) Correct Guess: coconut
113.473,(1) Correct Guess: apple
113.473,"Ended with: 0 mistakes, 16 earned, 9 in game time passed"
116.143,Rated themselves: 3
116.143,"i:(1,2221) Job Uber - SF now available"
116.143,"Entered home screen, displayed jobs: [""i:(0,1781) UberEats - SF: 11 waitTime, 51 timeLimit"",""i:(1,2221) Uber - SF: 0 waitTime, 24 timeLimit"",""i:(2,3627) UberEats - Berkeley: 1 waitTime, 33 timeLimit"",""i:(3,2871) Uber - Berkeley: 4 waitTime, 15 timeLimit""]"
116.143,"i:(1,943) Job Uber - SF now available"
116.973,"Task Uber - SF was started with: 12 steps, 24 timeLimit, 20 hardLimit"
119.203,(12) Correct Guess: green
120.453,(11) Correct Guess: green
121.683,(10) Correct Guess: red
122.453,(9) Correct Guess: red
123.373,(8) Correct Guess: red
124.303,(7) Correct Guess: red
125.133,(6) Correct Guess: red
126.863,(5) Correct Guess: green
127.883,(4) Correct Guess: red
129.283,(3) Correct Guess: green
130.093,(2) Correct Guess: red
130.903,(1) Correct Guess: red
130.903,"Ended with: 0 mistakes, 24 earned, 13 in game time passed"
133.373,Rated themselves: 3
133.373,"i:(3,2017) Job Uber - Berkeley now available"
133.373,"Entered home screen, displayed jobs: [""i:(0,4296) UberEats - SF: 11 waitTime, 36 timeLimit"",""i:(1,494) Uber - SF: 2 waitTime, 15 timeLimit"",""i:(2,2003) UberEats - Berkeley: 5 waitTime, 33 timeLimit"",""i:(3,2017) Uber - Berkeley: 0 waitTime, 16 timeLimit""]"
133.373,"i:(3,3112) Job Uber - Berkeley now available"
135.392,"i:(1,2720) Job Uber - SF now available"
138.382,"i:(2,3215) Job UberEats - Berkeley now available"
139.232,"Task Uber - Berkeley was started with: 8 steps, 16 timeLimit, 28 hardLimit"
143.892,(8) Correct Guess: green
145.133,(7) Correct Guess: green
146.893,(6) Correct Guess: yellow
147.953,(5) Correct Guess: red
149.573,(4) Correct Guess: yellow
151.483,(3) Correct Guess: yellow
152.413,(2) Correct Guess: red
154.353,(1) Correct Guess: yellow
154.353,"Ended with: 0 mistakes, 16 earned, 15 in game time passed"
157.723,Rated themselves: 2
